78.09	-1.00	78.60	-4.99	79.14	-4.47	85.25	-0.46       77.33	-0.86	77.34	-4.90	92.87	-0.06	93.40	-0.35
77.19	-3.58	77.86	-3.64	78.32	-3.55	83.07	-3.44       76.48	-3.40	76.59	-3.44	89.51	-3.05	89.72	-3.05
76.51	-5.47	77.12	-5.56	77.60	-5.52	81.55	-5.45       75.77	-5.44	75.86	-5.42	86.97	-5.18	86.94	-5.19
75.87	-6.43	76.41	-6.47	76.93	-6.47	80.25	-6.41       75.12	-6.38	75.26	-6.41	84.92	-6.29	84.55	-6.32
75.24	-7.03	75.69	-7.12	76.21	-7.10	79.17	-7.09       74.47	-7.03	74.60	-7.04	83.06	-6.97	82.45	-7.01
74.66	-7.73	75.11	-7.79	75.58	-7.77	78.12	-7.79       73.85	-7.72	73.98	-7.75	81.49	-7.66	80.65	-7.72
73.86	-8.13	74.31	-8.21	74.76	-8.20	77.03	-8.20       73.11	-8.11	73.21	-8.14	79.86	-8.12	78.84	-8.18
73.47	-8.55	73.80	-8.62	74.30	-8.61	76.25	-8.64       72.56	-8.51	72.69	-8.55	78.65	-8.56	77.46	-8.59
72.90	-8.81	73.28	-8.91	73.71	-8.90	75.43	-8.94       72.06	-8.79	72.18	-8.83	77.47	-8.84	76.17	-8.90
72.33	-9.06	72.66	-9.20	73.11	-9.19	74.61	-9.20       71.46	-9.06	71.56	-9.11	76.35	-9.10	74.87	-9.17
68.02	-10.26	68.20	-10.33	68.62	-10.33	69.84	-10.32       67.14	-10.14	67.21	-10.17	71.26	-10.08	69.75	-10.19
64.41	-11.88	64.56	-11.95	64.97	-11.95	65.94	-11.94       63.62	-11.72	63.70	-11.74	67.15	-11.61	65.62	-11.76
61.56	-12.85	61.69	-12.90	62.04	-12.93	62.84	-12.91       60.85	-12.66	60.92	-12.67	63.83	-12.56	62.35	-12.71
59.25	-13.43	59.34	-13.45	59.66	-13.47	60.33	-13.47       58.63	-13.20	58.65	-13.22	61.13	-13.08	59.66	-13.26
57.41	-13.68	57.52	-13.72	57.77	-13.72	58.34	-13.76       56.84	-13.47	56.86	-13.49	59.01	-13.36	57.52	-13.55
55.71	-13.89	55.81	-13.91	56.08	-13.88	56.50	-13.95       55.19	-13.66	55.19	-13.66	57.07	-13.54	55.53	-13.75
54.29	-13.91	54.38	-13.95	54.67	-13.94	54.86	-14.00       53.78	-13.71	53.80	-13.70	55.44	-13.57	53.87	-13.83
53.08	-13.90	53.15	-13.92	53.49	-13.90	53.64	-13.98       52.57	-13.69	52.58	-13.68	54.04	-13.54	52.42	-13.86
52.02	-13.77	52.05	-13.77	52.40	-13.75	52.46	-13.83       51.53	-13.54	51.54	-13.53	52.78	-13.41	51.16	-13.77
50.38	-13.55	50.39	-13.56	50.75	-13.51	50.77	-13.59       49.95	-13.33	49.94	-13.32	51.04	-13.21	49.39	-13.65
48.99	-13.17	48.98	-13.21	49.31	-13.18	49.36	-13.24       48.57	-12.99	48.56	-12.98	49.49	-12.88	47.85	-13.42
47.84	-12.87	47.83	-12.90	48.09	-12.90	48.17	-12.93       47.42	-12.67	47.41	-12.66	48.22	-12.56	46.57	-13.22
46.87	-12.44	46.85	-12.47	47.09	-12.50	47.14	-12.50       46.46	-12.25	46.46	-12.23	47.14	-12.17	45.50	-12.92
46.06	-11.97	46.06	-11.99	46.27	-12.04	46.31	-12.06       45.70	-11.79	45.70	-11.76	46.28	-11.74	44.65	-12.59
43.64	-10.35	43.64	-10.42	43.83	-10.48	43.88	-10.52       43.31	-10.21	43.33	-10.24	43.82	-10.25	42.16	-11.63
42.47	-8.93	42.47	-9.00	42.63	-9.09	42.66	-9.16       42.13	-8.78	42.13	-8.82	42.59	-8.91	40.95	-10.84
41.67	-8.12	41.69	-8.22	41.85	-8.33	41.85	-8.44       41.34	-7.97	41.36	-8.02	41.80	-8.16	40.17	-10.71
41.21	-7.39	41.22	-7.52	41.34	-7.65	41.30	-7.84       40.85	-7.22	40.87	-7.30	41.22	-7.51	39.63	-10.68
40.92	-6.91	40.94	-7.07	41.02	-7.22	40.91	-7.50       40.57	-6.72	40.59	-6.82	40.85	-7.08	39.28	-10.95
40.68	-6.48	40.71	-6.67	40.80	-6.85	40.64	-7.25       40.28	-6.28	40.37	-6.39	40.54	-6.70	39.04	-11.38
40.60	-6.28	40.73	-6.59	40.76	-6.80	40.66	-7.37       40.21	-6.07	40.31	-6.26	40.50	-6.68	39.02	-12.18
40.26	-6.12	40.33	-6.54	40.17	-6.80	40.02	-7.59       39.80	-5.87	39.83	-6.17	39.79	-6.69	38.27	-13.24
